Date,Closed_Equity,Open_Positions,Margin_Used,Equity,Peak_Equity,Drawdown_Pct,Daily_Return,Rolling_Sharpe_30D
2025-10-27,13227910.14,1,668969.05,13481912.6,14351179.16,-6.057108968598513,0.009269381131107979,-2.3170586511561098
2025-10-28,14057790.96,0,0.0,14057790.96,14351179.16,-2.044349086085828,0.042714886016988585,0.026990579277545924
2025-10-29,14057790.96,0,0.0,14057790.96,14351179.16,-2.044349086085828,0.0,-0.8051076932739744
2025-10-30,14057790.96,1,794773.47,14057790.99,14351179.16,-2.044348877043778,2.1340478273401686e-09,-0.01621055737438754
2025-10-31,14057790.96,1,794773.47,14184657.29,14351179.16,-1.160335803375201,0.009024625568145428,0.3888342531979228
2025-11-03,14052894.24,0,0.0,14052894.24,14351179.16,-2.078469766661317,-0.009289124672253513,-0.027630912966403517
2025-11-04,14052894.24,0,0.0,14052894.24,14351179.16,-2.078469766661317,0.0,-0.4694622177411759
2025-11-06,14052894.24,1,795902.64,14052894.24,14351179.16,-2.078469766661317,0.0,0.2699813415989228
2025-11-07,14052894.24,1,795902.64,14235054.27,14351179.16,-0.8091661925848315,0.01296245647971217,0.8545179541677017
2025-11-10,14052894.24,1,795902.64,14326974.29,14351179.16,-0.1686611931336346,0.006457300285374945,1.1438086369125156
2025-11-11,14177003.92,0,0.0,14177003.92,14351179.16,-1.2136650100882718,-0.010467693105632003,0.6594943624901728
2025-11-12,14177003.92,0,0.0,14177003.92,14351179.16,-1.2136650100882718,0.0,2.868954195266073
2025-11-13,14177003.92,1,807429.48,14177003.92,14351179.16,-1.2136650100882718,0.0,2.868954195266073
2025-11-14,14177003.92,1,807429.48,14476763.98,14476763.98,0.0,0.02114410503739217,3.797237385825347
2025-11-17,14177003.92,1,807429.48,14673563.96,14673563.96,0.0,0.013594196898691235,4.424521589750937
2025-11-18,15382415.64,0,0.0,15382415.64,15382415.64,0.0,0.048308078523549014,5.424998390973819
2025-11-19,15382415.64,0,0.0,15382415.64,15382415.64,0.0,0.0,5.424998390973819
2025-11-20,15382415.64,2,1220468.39,15382415.66,15382415.66,0.0,1.3001859588968046e-09,5.424998449341038
2025-11-21,15382415.64,2,1220468.39,15398233.2,15398233.2,0.0,0.001028287126652705,5.470664288161213
2025-11-24,15454846.94,1,607572.08,15644004.47,15644004.47,0.0,0.015961004539144286,6.053815936784021
2025-11-25,15604359.54,0,0.0,15604359.54,15644004.47,-0.2534193216067404,-0.002534193216067404,7.042382018562143
2025-11-26,15604359.54,0,0.0,15604359.54,15644004.47,-0.2534193216067404,0.0,7.042382018562143
2025-11-27,15604359.54,1,843485.32,15604359.54,15644004.47,-0.2534193216067404,0.0,7.042382018562143
2025-11-28,15604359.54,1,843485.32,15799389.59,15799389.59,0.0,0.012498433498668415,7.557561229677115
2025-12-01,15604359.54,1,843485.32,16067184.6,16067184.6,0.0,0.016949706093044137,8.204315169419802
2025-12-02,15812777.43,0,0.0,15812777.43,16067184.6,-1.5833960730120666,-0.015833960730120666,7.219423772170352
2025-12-03,15812777.43,0,0.0,15812777.43,16067184.6,-1.5833960730120666,0.0,7.219423772170352
2025-12-04,15812777.43,1,901093.17,15812777.43,16067184.6,-1.5833960730120666,0.0,7.219423772170352
2025-12-05,15812777.43,1,901093.17,15790678.71,16067184.6,-1.7209355396339832,-0.0013975229903681052,7.151235745432092
2025-12-08,15807574.02,0,0.0,15807574.02,16067184.6,-1.6157813983166625,0.0010699546428805107,6.798666899540078
2025-12-09,15807574.02,0,0.0,15807574.02,16067184.6,-1.6157813983166625,0.0,6.420811747214989
2025-12-10,15807574.02,0,0.0,15807574.02,16067184.6,-1.6157813983166625,0.0,5.519180805697609
2025-12-11,15807574.02,1,896413.56,15807574.02,16067184.6,-1.6157813983166625,0.0,5.519180805697609
2025-12-12,15807574.02,1,896413.56,15766039.03,16067184.6,-1.8742896001829767,-0.0026275372772223138,5.378975200824977
2025-12-15,15807574.02,1,896413.56,16026963.97,16067184.6,-0.2503278016734778,0.01654980934041239,5.632414600602362
2025-12-16,16734003.7,0,0.0,16734003.7,16734003.7,0.0,0.04411563732990653,7.000083608775848
2025-12-17,16734003.7,0,0.0,16734003.7,16734003.7,0.0,0.0,7.000083608775848
2025-12-18,16734003.7,1,943881.05,16734003.7,16734003.7,0.0,0.0,7.000083608775848
2025-12-19,16734003.7,1,943881.05,16612222.48,16734003.7,-0.7277470603164637,-0.0072774706031646375,6.140454226192347
2025-12-22,16334816.2,0,0.0,16334816.2,16734003.7,-2.3854871025276503,-0.016698926367858302,5.031666562446688
2025-12-23,16334816.2,0,0.0,16334816.2,16734003.7,-2.3854871025276503,0.0,5.5197995070714265
2025-12-24,16334816.2,0,0.0,16334816.2,16734003.7,-2.3854871025276503,0.0,5.5197995070714265
2025-12-26,16334816.2,0,0.0,16334816.2,16734003.7,-2.3854871025276503,0.0,5.5197995070714265
2025-12-29,16334816.2,0,0.0,16334816.2,16734003.7,-2.3854871025276503,0.0,4.822749635062253
2025-12-30,16334816.2,0,0.0,16334816.2,16734003.7,-2.3854871025276503,0.0,4.323724249981031
2025-12-31,16334816.2,0,0.0,16334816.2,16734003.7,-2.3854871025276503,0.0,3.0759889484768657
2026-01-01,16334816.2,1,916894.14,16334816.2,16734003.7,-2.3854871025276503,0.0,3.0759889484768657
2026-01-02,16027251.4,0,0.0,16027251.4,16734003.7,-4.223450123893535,-0.018828788535741103,2.017493970225991
2026-01-05,16027251.4,0,0.0,16027251.4,16734003.7,-4.223450123893535,0.0,1.9687409883800762
2026-01-06,16027251.4,0,0.0,16027251.4,16734003.7,-4.223450123893535,0.0,1.2561512453684824
2026-01-07,16027251.4,0,0.0,16027251.4,16734003.7,-4.223450123893535,0.0,1.380776414646853
2026-01-08,16027251.4,0,0.0,16027251.4,16734003.7,-4.223450123893535,0.0,1.380776414646853
2026-01-09,16027251.4,0,0.0,16027251.4,16734003.7,-4.223450123893535,0.0,1.380776414646853
2026-01-12,16027251.4,0,0.0,16027251.4,16734003.7,-4.223450123893535,0.0,0.791000301086118
2026-01-13,16027251.4,0,0.0,16027251.4,16734003.7,-4.223450123893535,0.0,-0.04783354459204845
2026-01-14,16027251.4,1,900028.43,16027251.4,16734003.7,-4.223450123893535,0.0,0.8009450581449843
2026-01-16,16027251.4,1,900028.43,16217155.38,16734003.7,-3.088611244898898,0.011848817695590652,1.4079734402154722
2026-01-19,16027251.4,1,900028.43,16619892.1,16734003.7,-0.6819145139784988,0.024833992803489968,2.497199899683785
2026-01-20,16021079.08,0,0.0,16021079.08,16734003.7,-4.2603350207219055,-0.03602989817244362,0.6977574538279123
2026-01-21,16021079.08,2,1032610.7,16021079.14,16734003.7,-4.2603346621705285,3.745066035065747e-09,0.6537250277084247
2026-01-22,16021079.08,2,1032610.7,16089807.63,16734003.7,-3.849623088107712,0.004289878940077374,0.8291554881993001
2026-01-23,16021079.08,2,1032610.7,16542192.57,16734003.7,-1.1462357331736395,0.028116242928629687,1.8538864519263478
2026-01-27,17231805.66,0,0.0,17231805.66,17231805.66,0.0,0.041688130946477164,3.063722374400968
2026-01-28,17231805.66,0,0.0,17231805.66,17231805.66,0.0,0.0,3.158181144255264
2026-01-29,17231805.66,0,0.0,17231805.66,17231805.66,0.0,0.0,2.6268809372343034
2026-01-30,17231805.66,1,984213.67,17231805.75,17231805.75,0.0,5.222900112400453e-09,1.2771407054727169
2026-02-01,16398083.56,0,0.0,16398083.56,17231805.75,-4.838275234155298,-0.04838275234155298,-0.545852100258452
2026-02-02,16398083.56,0,0.0,16398083.56,17231805.75,-4.838275234155298,0.0,-0.545852100258452
2026-02-03,16398083.56,0,0.0,16398083.56,17231805.75,-4.838275234155298,0.0,-0.30516932251302265
2026-02-04,16398083.56,0,0.0,16398083.56,17231805.75,-4.838275234155298,0.0,0.25569851691672313
2026-02-05,16398083.56,0,0.0,16398083.56,17231805.75,-4.838275234155298,0.0,0.25569851691672313
2026-02-06,16398083.56,0,0.0,16398083.56,17231805.75,-4.838275234155298,0.0,0.25569851691672313
